run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest
11,ptdf_pos,TIME_LIMIT,120.50599980354309,1.7549680948454178,2400.1047541590283,2.313409149258941e9,40.402201544352735,0.0,OPTIMAL,148340.80106063865,15123.082004738972,0.0,74170.40053031933,74170.40053031933,15123.082004738972,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,4419.5,0.0,2560.309318529239,0.0,34087.40298971259,7001.104754159029,34087.40298971259,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.1047541590283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ptdf_neg,TIME_LIMIT,120.71799993515015,256.4559283883079,2400.1047541590287,2.3134091492589417e9,40.40220154435273,0.0,OPTIMAL,127211.21189145348,15853.415096548852,0.0,63605.60594572674,63605.60594572674,15853.415096548852,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,3480.0,0.0,2560.309318529239,0.0,34087.40298971189,7001.104754159029,34087.40298971189,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
13,ptdf_pos,TIME_LIMIT,120.65400004386902,1.755002797653166,2400.10475415903,2.313409149258941e9,40.40220154435274,0.0,OPTIMAL,112115.52741185043,12967.753331578802,0.0,56057.763705925216,56057.763705925216,12967.753331578802,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,4419.5,0.0,2560.309318529239,0.0,34087.4029897126,7001.104754159029,34087.4029897126,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.1047541590302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ptdf_neg,TIME_LIMIT,120.5990002155304,174.26364252410073,2400.1047541590287,2.313409149258942e9,40.40220154435273,0.0,OPTIMAL,96861.2813898375,12967.753331578337,0.0,48430.64069491875,48430.64069491875,12967.753331578337,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,3480.0,0.0,2560.309318529239,0.0,34087.40298965345,7001.104754159029,34087.40298965345,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
15,ptdf_pos,TIME_LIMIT,120.36500000953674,4.111521341814105,2400.1047541590283,2.31340914925894e9,40.40220154435275,0.0,OPTIMAL,121422.42018881859,13533.404839929659,0.0,60711.210094409296,60711.21009440929,13533.404839929659,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,3480.0,0.0,2560.309318529239,0.0,34087.40298971069,7001.104754159029,34087.40298971069,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.1047541590282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ptdf_neg,TIME_LIMIT,120.69900012016296,1.118895349784752,2400.1047541590287,2.313409149258941e9,40.402201544352735,0.0,OPTIMAL,109519.82096269817,12967.753331578337,0.0,54759.910481349085,54759.910481349085,12967.753331578337,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529239,0.0,2560.309318529239,0.0,34087.40298971258,7001.104754159029,34087.40298971258,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
17,ptdf_pos,TIME_LIMIT,120.38499999046326,1.56957567711617,2400.1047541590306,2.313409149258941e9,40.40220154435273,0.0,OPTIMAL,136124.1298504452,118245.65340816695,0.0,68062.06492522261,68062.0649252226,118245.65340816695,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,3847.5,0.0,2560.309318529239,0.0,34087.40298971266,7001.104754159029,34087.40298971266,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415903034,0.0,1000.0,0.0,0.0
18,ptdf_neg,TIME_LIMIT,120.54500007629395,129.04799321302366,2400.1047541590287,2.3134091492589417e9,40.40220154435276,0.0,OPTIMAL,162616.59429105485,16766.818525486626,0.0,81308.29714552742,81308.29714552742,16766.818525486626,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529239,0.0,2560.309318529239,0.0,34087.40298971166,7001.104754159029,34087.40298971166,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.10475415902874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ptdf_pos,TIME_LIMIT,120.67999982833862,0.39025239888394414,2400.104754158996,2.313409149258937e9,40.40220154435274,0.0,OPTIMAL,123335.79744172588,12967.753331579268,0.0,61667.89872086294,61667.89872086294,12967.753331579268,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529239,0.0,2560.309318529239,0.0,34087.40298971256,7001.104754159029,34087.40298971256,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.1047541589959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ptdf_neg,TIME_LIMIT,120.63000011444092,2.409950976957303,2400.1047541590287,2.313409149258941e9,40.40220154435274,0.0,OPTIMAL,119362.73464287102,14202.165507424157,0.0,59681.36732143551,59681.36732143551,14202.165507424157,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529239,0.0,2560.309318529239,0.0,34087.40298971275,7001.104754159029,34087.40298971275,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
