run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest
31,ptdf_pos,TIME_LIMIT,120.58700013160706,138.11337479682172,436.00760287254803,2.267910990073825e9,43.05303149294538,0.0,OPTIMAL,163773.5502008153,3.0352893337365203e9,44033.771898569714,59869.889151122814,103903.66104969251,-3.0409272647900176e6,3.0383302610013103e9,5472.580873008178,16722.707602851122,5472.580873008178,16722.70760285112,0.0,0.0,0.0,5.3617590367593965e-9,0.0,5.361574295648099e-9,0.0,0.0,0.0,0.0,5.342153386322936e-9,0.0,0.0,5.361346921972656e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,0.0,0.0,0.0,0.0
32,ptdf_neg,TIME_LIMIT,120.58100008964539,846.1994269846588,436.00760285221054,2.2679109900727377e9,43.05303149294538,0.0,OPTIMAL,203114.0674275834,2.8134984163355856e9,40818.829615806164,81147.6189058886,121966.44852169478,-3.000827155039739e6,2.8164992434906254e9,5472.580873014581,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028510766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1339089667217199e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ptdf_pos,TIME_LIMIT,120.38300013542175,4.3183665440762935,436.0076028511411,2.2679109900726724e9,43.05303149294537,0.0,OPTIMAL,182918.59314632334,7.328841481601718e9,106330.01985609758,38294.286645112894,144624.30650121046,-7.92988846901481e6,7.336771370070733e9,5472.580873014765,16722.707602851122,5472.580873014765,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ptdf_neg,TIME_LIMIT,120.39800000190735,51.67537568795417,436.0076029600576,2.26791099007822e9,43.05303149294538,0.0,OPTIMAL,191852.14965269092,2.8134492329108977e9,40818.82960385701,75516.66002441698,116335.48962827395,-3.050009755236277e6,2.816499242666134e9,5472.580872922799,16722.707602851122,0.0,16722.70760285112,0.0,0.0,3.530634629100861e-8,0.0,0.0,0.0,3.529546077629676e-8,0.0,436.0076028511162,0.0,0.0,0.0,0.0,3.147199834074856e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.519242319782735e-8,0.0,0.0,0.0,0.0
35,ptdf_pos,TIME_LIMIT,120.60500001907349,2.3972608739943655,436.0076028511203,2.267910990072667e9,43.05303149294538,0.0,OPTIMAL,204985.3925510097,7.329087277717495e9,106330.01985609326,49327.68634745823,155657.70620355147,-7.684092352940826e6,7.336771370070436e9,5472.580873014668,16722.707602851122,5472.580873014668,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ptdf_neg,TIME_LIMIT,120.88100004196167,10.7961611278063,436.0076028511222,2.267910990072666e9,43.05303149294538,0.0,OPTIMAL,373135.62964980747,7.726805902336713e9,112053.79327165197,130540.91818907771,242594.71146072974,-4.905833407273765e6,7.731711735743986e9,5472.580873014567,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,436.0076028511222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ptdf_pos,TIME_LIMIT,120.3439998626709,51.675375701566665,436.00760285112233,2.2679109900726676e9,43.05303149294538,0.0,OPTIMAL,142559.93853535678,2.8134468301381955e9,40818.82961592893,50870.55445971394,91689.38407564285,-3.052413360901016e6,2.8164992434990964e9,5472.5808729282535,16722.707602851122,5472.580872928009,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.00760285112233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ptdf_neg,TIME_LIMIT,120.60800004005432,11.233992110021356,436.00760289710746,2.2679109900749016e9,43.05303149294537,0.0,OPTIMAL,255153.99545014382,7.7267424272098e9,112053.79326870908,71550.10109071739,183603.89435942643,-4.9693083311269935e6,7.731711735540927e9,5472.5808730146255,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,1.533996751845735e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5306421019545275e-8,0.0,0.0,1.5339853831619628e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ptdf_pos,TIME_LIMIT,120.4850001335144,32.81788779083716,436.0076028511203,2.2679109900726666e9,43.05303149294538,0.0,OPTIMAL,132052.28436414956,3.035262217168667e9,44033.77189986714,44009.256232141226,88043.02813200834,-3.0680439221658623e6,3.0383302610908327e9,5472.580873013451,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0
40,ptdf_neg,TIME_LIMIT,120.5640001296997,1.1320066292810027,436.0076028511212,2.2679109900726666e9,43.05303149294538,0.0,OPTIMAL,71556.74799172691,2.8134482345455565e9,40818.82961592899,15368.959187898952,56187.788803827956,-3.0510089535438973e6,2.8164992434991e9,5472.580873014622,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
