run_id,generator,bus,zone,cap,vc,mu_cm_bud,energy_rent,cm_rent,total_gen
33,NL0 22 0 onwind,NL0 22,3,122.7,0.015,47082.32971252022,273327.5132056425,0.0,8315.637013623795
33,NL0 23 0 onwind,NL0 23,1,127.0,0.015,47082.32971252022,392112.3505531206,0.0,11339.523922297043
33,NL0 24 0 onwind,NL0 24,1,33.0,0.015,47082.32971252022,92752.44470316463,0.0,2728.335457473075
33,NL0 27 0 onwind,NL0 27,1,21.6,0.015,47082.32971252022,79153.49435032447,0.0,2224.104552153531
33,NL0 3 0 onwind,NL0 3,1,284.6,0.015,47082.32971252022,777263.3501560005,0.0,22949.068991724038
33,NL0 30 0 onwind,NL0 30,1,31.0,0.015,47082.32971252022,94820.0954929026,0.0,2753.4833971189937
33,NL0 31 0 onwind,NL0 31,2,216.0,0.015,47082.32971252022,672209.7633220161,0.0,19369.54699704878
33,NL0 4 0 onwind,NL0 4,2,287.0,0.015,47082.32971252022,778569.4874764142,0.0,23084.587646299053
33,NL0 5 0 onwind,NL0 5,3,21.0,0.015,47082.32971252022,41509.59561819146,0.0,1296.2039909648734
33,NL0 6 0 onwind,NL0 6,3,35.0,0.015,47082.32971252022,67391.88116627448,0.0,2126.9213407013817
33,NL0 7 0 onwind,NL0 7,3,374.3,0.015,47082.32971252022,1.0282377998276058e6,0.0,30159.074429500197
33,NL0 8 0 onwind,NL0 8,1,101.1,0.015,47082.32971252022,243262.476323626,0.0,7323.460787945645
33,NL0 9 0 onwind,NL0 9,3,35.0,0.015,47082.32971252022,67695.26682682255,0.0,2115.0035191784104
34,NL0 1 biomass,NL0 1,3,71.0,19.979914529914527,47082.32971252022,304121.07270764885,3.342845409588936e6,12212.0
34,NL0 1 waste,NL0 1,3,31.0,34.1135,47082.32971252022,61055.03026471322,1.459552221088127e6,4560.546906155097
34,NL0 10 waste,NL0 10,1,150.0,34.1135,47082.32971252022,295427.5657969988,7.0623494568780335e6,21949.88089218557
34,NL0 11 biomass,NL0 11,3,20.0,19.979914529914527,47082.32971252022,85667.90780497153,941646.5942504045,3440.0
34,NL0 11 waste,NL0 11,3,50.0,34.1135,47082.32971252022,98475.85526566628,2.354116485626011e6,7450.0
