run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,lambda_c_z1,lambda_c_z2,lambda_c_z3,c_NL0 0 CCGT,c_NL0 1 CCGT,c_NL0 10 CCGT,c_NL0 11 CCGT,c_NL0 12 CCGT,c_NL0 13 CCGT,c_NL0 14 CCGT,c_NL0 15 CCGT,c_NL0 16 CCGT,c_NL0 17 CCGT,c_NL0 18 CCGT,c_NL0 19 CCGT,c_NL0 2 CCGT,c_NL0 20 CCGT,c_NL0 21 CCGT,c_NL0 22 CCGT,c_NL0 23 CCGT,c_NL0 24 CCGT,c_NL0 25 CCGT,c_NL0 26 CCGT,c_NL0 27 CCGT,c_NL0 28 CCGT,c_NL0 3 CCGT,c_NL0 30 CCGT,c_NL0 31 CCGT,c_NL0 33 CCGT,c_NL0 4 CCGT,c_NL0 5 CCGT,c_NL0 6 CCGT,c_NL0 7 CCGT,c_NL0 8 CCGT,c_NL0 9 CCGT
21,unit_pos,OPTIMAL,2.1409997940063477,0.0,17700.960775213134,3.1414346283889804e9,40.18282306038072,0.0,OPTIMAL,2.0041539741267037e7,1.1941355498020887e9,239135.9906531492,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,426.8453629099654,1000.0,75.42153201651308,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,525.7018520271722,1000.0,0.0,0.0,0.0,288.482537283915,585.2500997265051,1000.0,1000.0,176.52633668128692,0.0,1000.0,622.7330545677764
22,unit_pos,OPTIMAL,2.7880001068115234,0.0,17700.960775213134,3.1414346283889813e9,40.18282306038072,0.0,OPTIMAL,2.078875193533075e7,1.1566419737877195e9,224161.52494985386,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,292.05870033233805,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,408.90207488079614,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
23,unit_pos,OPTIMAL,3.0879998207092285,0.0,17700.960775213134,3.1414346283889813e9,40.18282306038072,0.0,OPTIMAL,1.9856260181903187e7,1.034043954394934e9,161776.3989393983,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,661.9261856326552,1000.0,122.29463480464756,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,884.2017112739595,0.0,0.0,1000.0,0.0,0.0,409.80518893409544,1000.0,1000.0,0.0,0.0,1000.0,622.7330545677764
24,unit_pos,OPTIMAL,2.052999973297119,0.0,17700.96077521313,3.141434628388982e9,40.18282306038072,0.0,OPTIMAL,1.9765514592233945e7,1.0853770396766222e9,185683.2675405094,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,427.2900591817761,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,982.7177438011277,0.0,0.0,0.0,1000.0,288.482537283915,796.3586193790816,631.3894144898968,981.61201569902,0.0,0.0,1000.0,593.110385378317
25,unit_pos,OPTIMAL,3.828000068664551,0.0,17700.960775213134,3.1414346283889804e9,40.18282306038072,0.0,OPTIMAL,2.0095871491042614e7,9.713324504896295e8,138375.53073685052,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,754.1735005470755,1000.0,1000.0,0.0,0.0,157.0773984714724,1000.0,1000.0,1000.0,0.0,0.0,649.0584195106912,1000.0,140.65145668389505,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
26,unit_pos,OPTIMAL,2.3320000171661377,0.0,17700.960775213134,3.1414346283889813e9,40.18282306038072,0.0,OPTIMAL,2.058002932639142e7,1.1490429744559152e9,209991.05789268384,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,882.9009830283553,1000.0,96.64504071846932,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,942.7563260330662,0.0,0.0,0.0,0.0,155.9253708654669,1000.0,1000.0,1000.0,0.0,0.0,1000.0,622.7330545677764
27,unit_pos,OPTIMAL,2.7780001163482666,0.0,17700.960775213134,3.14143462838898e9,40.18282306038072,0.0,OPTIMAL,1.990058328904315e7,1.0213541671298178e9,164554.8737825355,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,456.22856508339646,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,244.39673034159387,1000.0,0.33547978814385715,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,0.0,1000.0
28,unit_pos,OPTIMAL,2.866999864578247,0.0,17700.960775213134,3.141434628388982e9,40.18282306038072,0.0,OPTIMAL,1.976654806611271e7,8.353279982678325e8,70408.76053722651,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,700.9607752131342,1000.0
29,unit_pos,OPTIMAL,2.1019999980926514,0.0,17700.960775213134,3.1414346283889832e9,40.18282306038072,0.0,OPTIMAL,1.9378286600441802e7,8.033739654706649e8,58572.51639390635,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,700.6252954249903,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,293.46122192980874,0.0,1000.0,1000.0,0.0,472.85608277249594,1000.0,0.0,234.01817508583918,1000.0
30,unit_pos,OPTIMAL,2.1089999675750732,0.0,17700.960775213134,3.1414346283889823e9,40.18282306038072,0.0,OPTIMAL,1.960801439965906e7,8.172544784565942e8,62935.2521182542,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,466.942600127295,0.0,1000.0,234.01817508583918,1000.0
31,unit_pos,OPTIMAL,2.0360000133514404,0.0,17700.96077521313,3.14143462838898e9,40.18282306038072,0.0,OPTIMAL,2.0723746136319894e7,1.0267358942393727e9,149246.00818565002,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,820.4914806351235,1000.0,191.28306764821764,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,328.8279381018124,737.6252342602043,1000.0,1000.0,0.0,0.0,1000.0,622.7330545677764
32,unit_pos,OPTIMAL,2.623000144958496,0.0,17700.960775213134,3.141434628388982e9,40.18282306038072,0.0,OPTIMAL,1.9712068843310427e7,7.977734808943802e8,51897.48476342963,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,107.63423132214484,0.0,1000.0,1000.0,0.0,698.5015866600188,0.0,0.0,894.8249572309705,1000.0
33,unit_neg,OPTIMAL,0.3380000591278076,0.0,17700.960775213138,3.141434628388983e9,40.18282306038072,0.0,OPTIMAL,1.9920381055389777e7,8.053087297849661e8,67922.88475371533,47082.32971252022,47082.32971252022,47082.32971252022,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,240.03597251647352,0.0,1000.0,505.0598924422484,0.0,0.0,0.0,0.0,0.0,868.254545157949,1000.0,991.4140726882679,0.0,0.0,0.0,1000.0,1000.0,96.1962924081954,1000.0
34,unit_neg,OPTIMAL,0.24600005149841309,0.0,17700.960775213134,3.1414346283889823e9,40.18282306038072,0.0,OPTIMAL,1.851397507803734e7,6.686026883665963e8,5816.198467535502,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,571.752288069198,1000.0,1000.0,0.0,0.0,1000.0,1000.0,527.383008852391,0.0,0.0,80.04639216471821,838.0629640501041,929.8563984367798,1000.0,33.833224791811745,0.0,776.4249741421706,0.0,0.0,642.8404269836703,300.7610977222903,1000.0,1000.0,1000.0,1000.0
