run_id,generator,type,bus,gen_zone,target_zone,cm_offer,lambda_c_z,mu_cm_bud,mu_mec_z
2,NL0 22 CCGT,investable,NL0 22,3,3,1000.0,47082.32971252022,47082.32971252022,0.0
2,NL0 23 CCGT,investable,NL0 23,1,1,1000.0,47082.32971252022,47082.32971252022,0.0
2,NL0 24 CCGT,investable,NL0 24,1,1,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 25 CCGT,investable,NL0 25,2,2,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 26 CCGT,investable,NL0 26,2,2,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 26 CCGT,investable,NL0 26,2,3,900.9957797993043,47082.32971252022,47082.32971252022,0.0
2,NL0 27 CCGT,investable,NL0 27,1,1,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 28 CCGT,investable,NL0 28,2,2,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 3 CCGT,investable,NL0 3,1,1,268.90355587664226,47082.32971252022,47082.32971252022,0.0
2,NL0 30 CCGT,investable,NL0 30,1,1,794.3621571608176,47082.32971252022,47082.32971252022,0.0
2,NL0 31 CCGT,investable,NL0 31,2,2,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 31 CCGT,investable,NL0 31,2,3,1000.0,47082.32971252022,47082.32971252022,0.0
2,NL0 33 CCGT,investable,NL0 33,1,1,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 4 CCGT,investable,NL0 4,2,2,510.30931852923914,47082.32971252022,47082.32971252022,0.0
2,NL0 5 CCGT,investable,NL0 5,3,3,1000.0,47082.32971252022,47082.32971252022,0.0
2,NL0 6 CCGT,investable,NL0 6,3,3,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 7 CCGT,investable,NL0 7,3,3,915.8878920599423,47082.32971252022,47082.32971252022,0.0
2,NL0 8 CCGT,investable,NL0 8,1,1,460.4855455466865,47082.32971252022,47082.32971252022,0.0
2,NL0 9 CCGT,investable,NL0 9,3,3,1000.0,47082.32971252022,47082.32971252022,0.0
2,NL0 1 biomass,legacy,NL0 1,3,3,71.0,47082.32971252022,47082.32971252022,0.0
2,NL0 1 waste,legacy,NL0 1,3,3,31.0,47082.32971252022,47082.32971252022,0.0
2,NL0 10 waste,legacy,NL0 10,1,1,150.0,47082.32971252022,47082.32971252022,0.0
2,NL0 11 biomass,legacy,NL0 11,3,3,20.0,47082.32971252022,47082.32971252022,0.0
2,NL0 11 waste,legacy,NL0 11,3,2,50.0,47082.32971252022,47082.32971252022,0.0
2,NL0 11 waste,legacy,NL0 11,3,3,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 13 biomass,legacy,NL0 13,3,3,77.0,47082.32971252022,47082.32971252022,0.0
2,NL0 19 biomass,legacy,NL0 19,2,1,49.0,47082.32971252022,47082.32971252022,0.0
2,NL0 19 biomass,legacy,NL0 19,2,2,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 19 waste,legacy,NL0 19,2,1,36.0,47082.32971252022,47082.32971252022,0.0
2,NL0 19 waste,legacy,NL0 19,2,2,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 22 biomass,legacy,NL0 22,3,1,500.0,47082.32971252022,47082.32971252022,0.0
2,NL0 22 biomass,legacy,NL0 22,3,3,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 25 waste,legacy,NL0 25,2,2,0.0,47082.32971252022,47082.32971252022,0.0
2,NL0 25 waste,legacy,NL0 25,2,3,54.0,47082.32971252022,47082.32971252022,0.0
2,NL0 27 biomass,legacy,NL0 27,1,1,22.0,47082.32971252022,47082.32971252022,0.0
2,NL0 27 waste,legacy,NL0 27,1,1,71.2,47082.32971252022,47082.32971252022,0.0
2,NL0 3 biomass,legacy,NL0 3,1,1,22.0,47082.32971252022,47082.32971252022,0.0
2,NL0 3 waste,legacy,NL0 3,1,1,108.0,47082.32971252022,47082.32971252022,0.0
2,NL0 30 biomass,legacy,NL0 30,1,1,60.0,47082.32971252022,47082.32971252022,0.0
2,NL0 7 nuclear,legacy,NL0 7,3,3,515.0,47082.32971252022,47082.32971252022,0.0
2,NL0 7 waste,legacy,NL0 7,3,3,39.0,47082.32971252022,47082.32971252022,0.0
2,NL0 8 biomass,legacy,NL0 8,1,1,36.0,47082.32971252022,47082.32971252022,0.0
2,NL0 8 waste,legacy,NL0 8,1,1,157.0,47082.32971252022,47082.32971252022,0.0
