run_id,zone_a,zone_b,bound,f_ab,phi_lo,phi_hi,at_bound
38,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
38,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
38,2,3,0.0,0.0,5393.551759356946,0.0,upper
39,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
39,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
39,2,3,0.0,0.0,5393.551759356946,0.0,upper
40,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
40,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
40,2,3,0.0,0.0,5393.551759356946,0.0,upper
41,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
41,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
41,2,3,0.0,0.0,5393.551759356946,0.0,upper
42,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
42,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
42,2,3,0.0,0.0,5393.551759356946,0.0,upper
43,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
43,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
43,2,3,0.0,0.0,5393.551759356946,0.0,upper
44,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
44,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
44,2,3,0.0,0.0,5393.551759356946,0.0,upper
45,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
45,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
45,2,3,0.0,0.0,5393.551759356946,0.0,upper
46,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
46,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
46,2,3,0.0,0.0,5393.551759356946,0.0,upper
47,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
47,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
47,2,3,0.0,0.0,5393.551759356946,0.0,upper
48,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
48,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
48,2,3,0.0,0.0,5393.551759356946,0.0,upper
49,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
49,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
49,2,3,0.0,0.0,5393.551759356946,0.0,upper
50,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
50,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
50,2,3,0.0,0.0,5393.551759356946,0.0,upper
51,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
51,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
51,2,3,0.0,0.0,5393.551759356946,0.0,upper
52,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
52,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
52,2,3,0.0,0.0,5393.551759356946,0.0,upper
53,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
53,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
53,2,3,0.0,0.0,5393.551759356946,0.0,upper
54,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
54,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
54,2,3,0.0,0.0,5393.551759356946,0.0,upper
55,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
55,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
55,2,3,0.0,0.0,5393.551759356946,0.0,upper
56,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
56,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
56,2,3,0.0,0.0,5393.551759356946,0.0,upper
57,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
57,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
57,2,3,0.0,0.0,5393.551759356946,0.0,upper
58,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
58,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
58,2,3,0.0,0.0,5393.551759356946,0.0,upper
59,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
59,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
59,2,3,0.0,0.0,5393.551759356946,0.0,upper
