run_id,weight_type,rd_cost_econ,curtailment,capacity_market_cost,cm_plus_redispatch_cost,grid_load_shedding_cost,total_cost,scenario,case_study,design,sigma,design_order,design_label
52,ptdf_neg,-75564.92100988934,1571.5939935403385,930706141.4849045,930630576.5638946,108439985.55428335,1039070562.118178,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
53,ptdf_pos,29297.33217198029,0.0,930706141.4849045,930735438.8170766,0.0,930735438.8170766,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
54,ptdf_neg,-4.6566128730773926e-09,0.0,930706141.4849045,930706141.4849045,0.0,930706141.4849045,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
55,ptdf_pos,-2199582.0715957023,45746.755580001,930706141.4849045,928506559.4133089,3156526135.020069,4085032694.433378,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
56,ptdf_neg,10797.559676081872,0.0,930706141.4849045,930716939.0445806,0.0,930716939.0445806,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
57,ptdf_pos,51946.809289139695,0.0,930706141.4849045,930758088.2941936,0.0,930758088.2941936,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
58,ptdf_neg,51946.809289139695,0.0,930706141.4849045,930758088.2941936,0.0,930758088.2941936,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
59,ptdf_pos,51946.809289139695,0.0,930706141.4849045,930758088.2941936,0.0,930758088.2941936,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
60,ptdf_neg,51946.809289139695,0.0,930706141.4849045,930758088.2941936,0.0,930758088.2941936,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
61,ptdf_pos,18647.163935297634,733.1885480903419,930706141.4849045,930724788.6488398,50590009.818233594,981314798.4670734,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
62,ptdf_neg,17684.926181424875,0.0,930706141.4849045,930723826.411086,0.0,930723826.411086,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
63,ptdf_pos,51946.809289139695,0.0,930706141.4849045,930758088.2941936,0.0,930758088.2941936,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
64,ptdf_neg,51946.809289139695,0.0,930706141.4849045,930758088.2941936,0.0,930758088.2941936,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
65,ptdf_pos,-165805.04733805405,3448.401890886173,930706141.4849045,930540336.4375665,237939730.47114593,1168480066.9087124,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
66,ptdf_neg,173166.14445612952,0.0,930706141.4849045,930879307.6293607,0.0,930879307.6293607,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
67,ptdf_pos,40170.27330678934,0.0,930706141.4849045,930746311.7582114,0.0,930746311.7582114,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
68,ptdf_neg,-93985.36767227856,1954.7011674253467,930706141.4849045,930612156.1172322,134874380.5523489,1065486536.6695812,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
69,ptdf_pos,-222531.67994227307,4628.19846690464,930706141.4849045,930483609.8049623,319345694.2164201,1249829304.0213823,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
70,ptdf_neg,115624.45920582872,0.0,930706141.4849045,930821765.9441104,0.0,930821765.9441104,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
71,ptdf_pos,84155.54592192825,2257.9147240498205,930706141.4849045,930790297.0308264,155796115.9594376,1086586412.990264,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
72,ptdf_neg,67908.50117402244,0.0,930706141.4849045,930774049.9860785,0.0,930774049.9860785,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
73,ptdf_pos,-25373.0797177013,527.7075525437729,930706141.4849045,930680768.4051868,36411821.125520326,967092589.5307071,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
74,ptdf_neg,10797.559676081872,0.0,930706141.4849045,930716939.0445806,0.0,930716939.0445806,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
75,ptdf_pos,115260.6077251099,0.0,930706141.4849045,930821402.0926297,0.0,930821402.0926297,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
76,ptdf_neg,-325293.6771214232,6765.435366944945,930706141.4849045,930380847.8077831,466815040.3192012,1397195888.1269844,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
77,ptdf_pos,5985.25135459844,0.0,930706141.4849045,930712126.7362591,0.0,930712126.7362591,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
