scenario,case_study,design,zone,bus,min_mw,median_mw,mean_mw,max_mw,build_runs,runs,build_share
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 11,0.0,67.14764141878965,416.2142946750303,1000.0,42,80,0.525
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 13,0.0,0.0,212.75986386869099,1000.0,37,80,0.4625
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 22,0.0,247.07712345658928,416.66908368856383,1000.0,41,80,0.5125
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 5,0.0,286.7407867042915,225.85375627443196,1000.0,41,80,0.5125
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 6,0.0,0.0,80.53639777641624,1000.0,14,80,0.175
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 7,0.0,312.1928100259642,459.3162616067945,1000.0,42,80,0.525
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 9,0.0,0.0,73.5229103686033,1000.0,14,80,0.175
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 0,0.0,0.0,0.0,0.0,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 10,0.0,0.0,1.1629747853625366e-08,9.073748419297094e-07,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 16,0.0,0.0,2.1253873683235736e-08,6.556757625730827e-07,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 17,0.0,0.0,6.746699376947165e-08,2.403483591706391e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 18,0.0,0.0,5.0646039717605636e-08,3.0575246157127384e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 20,0.0,0.0,8.468271815331722e-07,6.729973824803895e-05,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 21,0.0,0.0,6.423103791064481e-08,2.403483591706391e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 23,0.0,0.0,7.543639100049409e-08,2.528060122131139e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 24,0.0,0.0,2.875623295039987e-10,2.3004986360319897e-08,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 27,0.0,0.0,6.839746582443242e-08,1.8529974568082253e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 3,0.0,0.0,6.723611594594562e-07,5.287827733013731e-05,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 30,0.0,0.0,2.0008492693790466e-07,8.678638778292228e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 33,0.0,0.0,4.9660920709015974e-08,1.5357918528025047e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1,NL0 8,0.0,0.0,4.629496963559634e-08,2.403483591706391e-06,0,80,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 12,999.9999999971616,1000.0,999.9999999999645,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 14,999.9999999971548,1000.0,999.9999999999643,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 15,1000.0,1000.0,1000.0,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 19,999.9999999971616,1000.0,999.9999999999645,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 2,999.9999999971548,1000.0,999.9999999999643,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 25,1000.0,1000.0,1000.0,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 26,999.9999999971576,1000.0,999.9999999999645,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 28,999.9999999971604,1000.0,999.9999999999645,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 31,1000.0,1000.0,1000.0,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,2,NL0 4,1000.0,1000.0,1000.0,1000.0,80,80,1.0
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 1,0.0,544.9553169523765,521.5801573511802,1000.0,47,80,0.5875
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 11,0.0,465.00887396520193,513.3993652958084,1000.0,47,80,0.5875
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 13,0.0,764.6818877821147,536.3890986760906,1000.0,46,80,0.575
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 22,0.0,457.9137837282733,518.594061044764,1000.0000004363512,47,80,0.5875
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 5,0.0,769.8461471719233,546.1562916787033,1000.0,47,80,0.5875
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 6,0.0,634.5076028511185,718.8491377626739,1000.0,75,80,0.9375
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 7,0.0,879.8743004219482,549.2814651714,1000.0,46,80,0.575
nl34_z1_sigma0,Case Study 1,Country-wide,3,NL0 9,0.0,634.5076028511185,730.2580266528427,1000.0,74,80,0.925
nl34_z3_sigma0,Case Study 1,Split,1,NL0 0,0.0,321.1873667771267,473.9026920969517,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 10,0.0,423.2132840450098,481.81841526496436,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 16,0.0,518.1104489433632,489.07723827560164,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 17,0.0,369.33575607731495,476.39299199194875,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 18,0.0,385.6317472993864,368.6465929299152,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 20,0.0,437.1001650783245,485.4062013218842,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 21,0.0,454.7245534323727,381.94719531664015,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 23,0.0,517.4042488025019,489.5875399980734,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 24,0.0,613.9751009886972,503.6073942009364,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 27,0.0,582.8833668171686,490.6672692940816,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 3,0.0,484.25843373705936,487.9686641116517,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 30,0.0,494.3605811921291,489.7818649773024,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,1,NL0 33,0.0,509.8270333277368,495.2670233230468,1000.0,44,80,0.55
nl34_z3_sigma0,Case Study 1,Split,1,NL0 8,0.0,477.10621754284455,487.4756194218679,1000.0,45,80,0.5625
nl34_z3_sigma0,Case Study 1,Split,2,NL0 12,0.0,0.0,128.91073749405447,1000.0,19,80,0.2375
nl34_z3_sigma0,Case Study 1,Split,2,NL0 14,0.0,0.0,199.84298260386728,1000.0,36,80,0.45
nl34_z3_sigma0,Case Study 1,Split,2,NL0 15,0.0,281.51977315998676,422.24278843741985,1000.0,42,80,0.525
nl34_z3_sigma0,Case Study 1,Split,2,NL0 19,0.0,0.0,206.58430589915656,1000.0,38,80,0.475
nl34_z3_sigma0,Case Study 1,Split,2,NL0 2,0.0,0.0,364.05753133000724,1000.0,31,80,0.3875
nl34_z3_sigma0,Case Study 1,Split,2,NL0 25,0.0,0.0,73.3517472173343,1000.0,14,80,0.175
nl34_z3_sigma0,Case Study 1,Split,2,NL0 26,0.0,117.775523502177,386.73085454176066,1000.0,40,80,0.5
nl34_z3_sigma0,Case Study 1,Split,2,NL0 28,0.0,0.0,111.95717901464793,1000.0,19,80,0.2375
nl34_z3_sigma0,Case Study 1,Split,2,NL0 31,0.0,0.0,118.94864349256571,1000.0,18,80,0.225
nl34_z3_sigma0,Case Study 1,Split,2,NL0 4,0.0,270.7512252509816,408.68254849842504,1000.0,42,80,0.525
nl34_z3_sigma0,Case Study 1,Split,3,NL0 1,0.0,1000.0,570.3374529701424,1000.0,48,80,0.6
nl34_z3_sigma0,Case Study 1,Split,3,NL0 11,0.0,1000.0,586.3870172258047,1000.0,48,80,0.6
nl34_z3_sigma0,Case Study 1,Split,3,NL0 13,0.0,678.1052850623964,767.4748185704924,1000.0,75,80,0.9375
nl34_z3_sigma0,Case Study 1,Split,3,NL0 22,0.0,839.0522943017017,550.7501713696787,1000.0,50,80,0.625
nl34_z3_sigma0,Case Study 1,Split,3,NL0 5,0.0,678.1047541590287,753.8699561343036,1000.0,71,80,0.8875
nl34_z3_sigma0,Case Study 1,Split,3,NL0 6,0.0,1000.0,928.9709689948602,1000.0,75,80,0.9375
nl34_z3_sigma0,Case Study 1,Split,3,NL0 7,0.0,984.118540587138,582.3670178126048,1000.0,48,80,0.6
nl34_z3_sigma0,Case Study 1,Split,3,NL0 9,0.0,1000.0,937.9473747395775,1000.0,76,80,0.95
