scenario,case_study,sigma,zone,bus,change_min_mw,change_max_mw,change_class
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 2,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 25,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 26,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 28,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 31,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 4,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 1,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 11,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 13,-788.5670740593446,156.88732027409606,Direction differs across paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 22,-788.5670740593455,519.851308439503,Direction differs across paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 5,-788.5670740593455,321.9595460373166,Direction differs across paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 6,-788.5670740593459,124.15040983224048,Direction differs across paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 7,-788.5670740593464,0.0,Loses in some paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 9,-788.5670740593455,149.45981644962808,Direction differs across paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 0,0.0,0.0,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 10,0.0,7.554870884399325e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 16,-3.205949069610407e-06,6.377501511332336e-08,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 17,0.0,0.0,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 18,-9.596714196646876e-07,0.0,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 20,0.0,2.276597221850808e-08,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 21,0.0,3.791994274138234e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 23,-9.638755553709193e-07,2.0323227545304694e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 24,0.0,7.453319739170185e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 27,0.0,7.541984814452007e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 3,0.0,4.2147956236249245e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 30,-9.617139387074762e-07,3.791994274138234e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 33,-5.532983076023888e-08,2.130605025740807e-09,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 8,-5.780344753958391e-07,1.5405818842850757e-07,No material change
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 12,0.0,479.6996774908275,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 14,0.0,479.6996774908503,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 15,0.0,479.6996774910031,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 19,0.0,479.699677490944,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 2,0.0,479.6996774908994,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 25,0.0,479.6996774910086,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 26,0.0,479.6996774906741,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 28,0.0,479.6996774908434,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 31,0.0,479.6996774908657,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 4,0.0,479.69967749107786,Gains in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 1,-1000.0,22.761097722262093,Direction differs across paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 11,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 13,-1000.0,22.76109772228384,Direction differs across paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 22,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 5,-977.2389022777162,1.732995613679123e-08,Loses in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 6,-1000.0,1.733063825781756e-08,Loses in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 7,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 9,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 0,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 10,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 16,-3.205949069610407e-06,9.09443144792022e-07,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 17,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 18,-5.444617023897525e-08,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 20,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 21,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 23,-5.4432410578897255e-08,4.95322716176361e-09,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 24,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 27,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 3,0.0,9.094429174183464e-07,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 30,-5.4401398941195006e-08,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 33,0.0,1.1100775859787096e-06,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 8,0.0,3.314085557093451e-07,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 12,0.0,502.4607752133602,Gains in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 14,0.0,502.46077521325833,Gains in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 15,-1.1579439245903921e-07,502.4607752723706,Gains in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 19,0.0,502.46077521334126,Gains in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 2,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 25,0.0,502.460775213116,Gains in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 26,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 28,0.0,502.46077521302686,Gains in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 31,0.0,0.0,No material change
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 4,0.0,502.46077532928473,Gains in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 1,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 11,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 13,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 22,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 5,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 6,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 7,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 9,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 0,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 10,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 16,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 17,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 18,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 20,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 21,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 23,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 24,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 27,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 3,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 30,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 33,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 8,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 12,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 14,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 15,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 19,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 2,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 25,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 26,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 28,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 31,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 4,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 1,0.0,0.0,No material change
