run_id,weight_type,capacity_market_cost_countrywide,redispatch_cost_countrywide,grid_shedding_countrywide_mwh,capacity_market_cost_split,redispatch_cost_split,grid_shedding_split_mwh,delta_capacity_market_cost,delta_redispatch_cost,delta_cost_excluding_grid_shedding,avoided_grid_shedding_mwh,break_even_voll_eur_per_mwh,case_study,scenario,sigma,design_order,design_label
77,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,879416837.2416099,-53560132.447981656,1144100.5411786258,-22531052.88185036,199031892.06476504,176500839.18291467,4710513.101617058,37.469557004803626,Case Study 1,nl34_z3_sigma100,1.0,5,$\sigma=1$
78,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,879416837.2416033,-25461083.30126449,529537.8470640748,-22531052.881857038,84147080.47912155,61616027.59726451,1770250.9328382013,34.806380527351,Case Study 1,nl34_z3_sigma100,1.0,5,$\sigma=1$
79,ptdf_pos,901947890.1234603,-109608163.78038605,2299788.779902276,879416837.2416033,-26566620.843432546,552530.7402965992,-22531052.881857038,83041542.9369535,60510490.05509646,1747258.039605677,34.63168500787241,Case Study 1,nl34_z3_sigma100,1.0,5,$\sigma=1$
80,ptdf_neg,901947890.1234603,-252592024.5127467,5854613.642795684,879416837.2416099,-52907363.37754077,1143705.5656791397,-22531052.88185036,199684661.13520592,177153608.25335556,4710908.077116544,37.60498089824496,Case Study 1,nl34_z3_sigma100,1.0,5,$\sigma=1$
1,ptdf_pos,91516369.77138887,-3093603.857631908,44033.77189985748,238649479.1282114,12967.753331577873,0.0,147133109.35682255,3106571.6109634857,150239680.96778604,44033.77189985748,3411.9194083455823,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
2,ptdf_neg,91516369.77237989,-2974739.1968354387,40818.82961592906,238649479.1282115,13632.738102612086,0.0,147133109.35583162,2988371.934938051,150121481.29076967,40818.82961592906,3677.7507513881915,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
3,ptdf_pos,91516369.77238083,-3008080.854911352,40818.82961593033,238649479.12821206,14484.123916221784,0.0,147133109.35583124,3022564.978827574,150155674.3346588,40818.82961593033,3678.5884295922506,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
4,ptdf_neg,91516369.77238244,-3427319.7614145624,53543.63076651991,238649479.1281953,14609.503999720791,0.0,147133109.35581285,3441929.265414283,150575038.62122715,53543.63076651991,2812.1932798658777,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
5,ptdf_pos,91516369.7723778,-3041766.8434679494,40818.82961592869,238649479.12757394,17676.489054745995,0.0,147133109.35519612,3059443.3325226954,150192552.6877188,40818.82961592869,3679.4918938368905,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
6,ptdf_neg,91516369.77238238,-3097679.2190012727,44033.77189986714,238649479.1282121,12967.753331578337,0.0,147133109.35582972,3110646.972332851,150243756.32816258,44033.77189986714,3412.0119591348453,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
