scenario,case_study,design,run_id,total_new_capacity_mw,largest_node_mw,active_nodes,node_hhi,largest_zone_share,largest_node_share
cs2_nl34_z3_sigma0,Case Study 2,Split,13,2400.10475415903,1000.0,3,0.3749818162921349,1.0,0.41664848097448515
cs2_nl34_z3_sigma0,Case Study 2,Split,14,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,15,2400.1047541590283,1000.0,3,0.37498181629213523,1.0,0.4166484809744855
cs2_nl34_z3_sigma0,Case Study 2,Split,16,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,17,2400.1047541590306,1000.0,3,0.37498181629213484,1.0,0.4166484809744851
cs2_nl34_z3_sigma0,Case Study 2,Split,18,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,19,2400.104754158996,1000.0,3,0.37498181629214083,1.0,0.4166484809744911
cs2_nl34_z3_sigma0,Case Study 2,Split,20,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,21,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,22,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,23,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,24,2400.1047541590283,1000.0,3,0.37498181629213523,1.0,0.4166484809744855
cs2_nl34_z3_sigma0,Case Study 2,Split,25,2400.104754159074,1000.0,3,0.37498181629212723,1.0,0.4166484809744775
cs2_nl34_z3_sigma0,Case Study 2,Split,26,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,27,2400.1047541591006,1000.0,3,0.3749818162921227,1.0,0.41664848097447293
cs2_nl34_z3_sigma0,Case Study 2,Split,28,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,29,2400.104758206672,1000.0,3,0.37498181502736655,0.999999998554378,0.4166484802718308
cs2_nl34_z3_sigma0,Case Study 2,Split,30,2400.1047541590283,1000.0,3,0.37498181629213523,1.0,0.4166484809744855
cs2_nl34_z3_sigma0,Case Study 2,Split,31,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,32,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,33,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,34,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,35,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,36,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,37,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,38,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,39,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
