run_id,line,total_overload_index,positive_overload_index,negative_overload_index,maximum_overload_mw,overloaded_run_hours,maximum_market_utilization,overload_during_shedding_index,shedding_associated_with_overload_mw,rd_volume,curtailment,scenario,case_study,design,sigma
62,3,0.0,0.0,0.0,0.0,0,0.427366061326069,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,30,0.0,0.0,0.0,0.0,0,0.2296559241604008,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,31,0.0,0.0,0.0,0.0,0,0.5387724704487311,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,32,0.0,0.0,0.0,0.0,0,0.2264527809269802,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,34,0.0,0.0,0.0,0.0,0,0.6537760890384058,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,35,0.0,0.0,0.0,0.0,0,0.704770173023142,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,36,0.0,0.0,0.0,0.0,0,0.3523850865115711,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,37,0.0,0.0,0.0,0.0,0,0.3932278917629632,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,38,0.0,0.0,0.0,0.0,0,0.4299469061577824,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,39,0.0,0.0,0.0,0.0,0,0.5273669625181779,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,4,231.45451562979315,231.4545156297927,0.0,104.1469723524042,5,1.0438081268017028,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,40,0.0,0.0,0.0,0.0,0,0.4941570934066141,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,5,443.49383036241306,0.0,443.49383036241306,266.61827945350296,5,1.1121496586038897,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,6,0.0,0.0,0.0,0.0,0,0.7151532983461979,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,7,295.5990760984341,295.5990760984341,0.0,181.84335490541696,3,1.2642386738774467,295.5990760984341,527.9524428241114,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,8,61.61012015375047,61.61012015375047,0.0,61.61012015375047,1,1.0895263753538031,61.61012015375047,372.77628591156287,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
62,9,0.0,0.0,0.0,0.0,0,0.8013401916750756,0.0,0.0,120140.3819869618,33212.789097821034,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,0,0.0,0.0,0.0,0.0,0,0.4673582239875807,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,1,0.0,0.0,0.0,0.0,0,0.6685865781391833,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,10,0.0,0.0,0.0,0.0,0,0.3294290198826324,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,11,62.61072880927975,62.61072880927975,0.0,62.61072880927975,1,1.0909803713183237,62.61072880927975,670.6134955883267,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,12,76.61299413648032,0.0,76.61299413648032,76.61299413648032,1,1.1113272243736034,76.61299413648032,670.6134955883267,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,13,0.0,0.0,0.0,0.0,0,0.632018785984606,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,14,92.25294723009108,0.0,92.25294723009108,92.25294723009108,1,1.1340538203886776,92.25294723009108,670.6134955883267,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,15,0.0,0.0,0.0,0.0,0,0.536370648409855,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,16,0.0,0.0,0.0,0.0,0,0.4627036565473588,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,17,0.0,0.0,0.0,0.0,0,0.7788511450812758,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,18,0.0,0.0,0.0,0.0,0,0.4969959704188486,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,19,0.0,0.0,0.0,0.0,0,0.8795046538390809,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,2,0.0,0.0,0.0,0.0,0,0.5255887258701808,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,20,937.9468736819567,0.0,937.9468736819567,245.705752620418,9,1.1033530646506076,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,21,0.0,0.0,0.0,0.0,0,0.3131280040839094,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
