scenario,case_study,design,sigma,line,bus,ptdf,ptdf_side,capacity_min_mw,capacity_max_mw,rho_investment_total_overload,rho_investment_maximum_overload,rho_investment_redispatch,rho_investment_grid_shedding,runs
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 11,-0.6884856692823967,negative,0.0,1000.0,0.6994313403221679,0.8798238756340155,0.08110987727564806,0.8866060032494634,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 13,-0.4951241241528989,negative,0.0,1000.0,0.6715951576357736,0.8823797276778588,-0.0019365999946903136,0.8672044146158004,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 22,-0.1126525218778524,negative,0.0,1000.0000004363512,-0.7080502120587514,-0.8877617366366531,-0.07493793879389303,-0.8813561986492413,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 5,-0.1961625193216211,negative,0.0,1000.0,-0.6985087311934686,-0.9067125596077186,-0.02697555254791538,-0.9050578343982535,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 6,-0.2916914495222213,negative,0.0,1000.0,-0.7184933605660427,-0.6273100526621945,-0.3180790878716268,-0.6342311820559116,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 7,-0.1126525218778524,negative,0.0,1000.0,-0.6937564013154823,-0.8553525083248302,-0.05607825693377722,-0.8855969828380215,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 9,-0.4137255672146022,negative,0.0,1000.0,0.28576720753467844,0.6139985949518253,-0.1658233474946305,0.6194970792516069,80
nl34_z1_sigma0,Case Study 1,Country-wide,,34,NL0 11,0.0518945787034868,positive,0.0,1000.0,-0.4329715153557804,0.05509722289053944,0.08110987727564806,0.8866060032494634,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 11,0.051894578703487,positive,0.0,1000.0,-0.058532882697120356,-0.056120921658847016,0.055056257749852476,0.2334933280615588,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 12,0.3496049747419688,positive,0.0,1000.0,0.21847203715571523,0.231344921560294,0.46688627246139447,-0.33504098191805465,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 14,0.5958661306973952,positive,0.0,1000.0,0.36565138618721177,0.35961535437145803,0.4862027917866107,0.8303543871697312,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 15,0.0602920655691071,positive,0.0,1000.0,-0.5545178596933452,-0.5574493532136182,-0.5632949059032081,-0.6316366135406916,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 19,0.2564038049304295,positive,0.0,1000.0,-0.5475216347041125,-0.5475268186599035,-0.48775458633751256,-0.67563440011026,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 2,0.2338244393894311,positive,0.0,1000.0,-0.476499997150418,-0.47650450867062677,-0.6620822479660573,-0.5879946459124734,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 25,0.2674852916627749,positive,0.0,1000.0,-0.11276429583747571,-0.10792613132822781,0.38232350418269895,-0.2494250321017804,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 26,-0.2568178633758781,negative,0.0,1000.0,0.2732648915625047,0.26266163458299113,0.39399852951575065,0.775044323165657,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 28,0.5315626726964169,positive,0.0,1000.0,0.3108167085668424,0.3212092775105443,0.5970672317069737,-0.15329337413943997,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,NL0 31,0.2745496521811301,positive,0.0,1000.0,0.058628812459341276,0.0689769259094803,0.2725186128063202,-0.3985321590830817,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 12,-0.3803812325533696,negative,0.0,1000.0,0.6543175536957652,0.6538447998738037,0.46688627246139447,-0.33504098191805465,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 14,-0.2363562655801373,negative,0.0,1000.0,-0.25258062792067226,-0.247696472132151,0.4862027917866107,0.8303543871697312,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 19,-0.246483307049037,negative,0.0,1000.0,-0.18315259441897436,-0.18315259441897436,-0.48775458633751256,-0.67563440011026,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 2,-0.2140445489169543,negative,0.0,1000.0,-0.27051700312904414,-0.27051700312904414,-0.6620822479660573,-0.5879946459124734,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 25,-0.5462474063364559,negative,0.0,1000.0,0.2569804841166321,0.24680538207518166,0.38232350418269895,-0.2494250321017804,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 26,-0.1501990200092376,negative,0.0,1000.0,-0.3768072559965231,-0.3768072559965231,0.39399852951575065,0.775044323165657,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 28,-0.2739639157957153,negative,0.0,1000.0,0.4598585371410839,0.4666852597433838,0.5970672317069737,-0.15329337413943997,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,NL0 31,-0.2725526290146342,negative,0.0,1000.0,0.46046190547377436,0.4579700255081613,0.2725186128063202,-0.3985321590830817,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 1,0.5863925659267386,positive,0.0,1000.0,0.3626572487572009,0.3626572487572009,0.07415566026121033,0.23830991875732457,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 11,0.6884856692823966,positive,0.0,1000.0,0.31756585603970533,0.31756585603970533,0.055056257749852476,0.2334933280615588,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 12,0.8096498326560537,positive,0.0,1000.0,-0.04009418535690318,-0.042065057364379016,0.46688627246139447,-0.33504098191805465,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 13,0.4951241241528987,positive,0.0,1000.0,0.36397224900697084,0.3662255893849805,-0.09613505812142965,0.319474727320596,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 14,0.8179529300422532,positive,0.0,1000.0,0.2337602812434679,0.2354161982298443,0.4862027917866107,0.8303543871697312,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 15,0.7998951750421592,positive,0.0,1000.0,-0.1966378679771791,-0.19841486162718655,-0.5632949059032081,-0.6316366135406916,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 16,0.0508547496430146,positive,0.0,1000.0,0.08814058872181332,0.08923765468035537,-0.19422477563559773,0.10486344731591826,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 19,0.8065074028788093,positive,0.0,1000.0,-0.16439236805646273,-0.16606537481971412,-0.48775458633751256,-0.67563440011026,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 2,0.8057461026636854,positive,0.0,1000.0,-0.142376572815332,-0.144099079271665,-0.6620822479660573,-0.5879946459124734,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 20,0.8732517387551535,positive,0.0,1000.0,0.15713064009714683,0.15713064009714683,0.22465813020434486,-0.06789334678740133,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 22,0.1126525218778523,positive,0.0,1000.0,-0.4096055905071384,-0.41137242902234944,-0.022990079809931296,-0.31265814072530335,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 25,0.8068810333166492,positive,0.0,1000.0,-0.11754560631009499,-0.11754560631009499,0.38232350418269895,-0.2494250321017804,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 26,0.8229199299696675,positive,0.0,1000.0,0.1864504313533545,0.1900507199836918,0.39399852951575065,0.775044323165657,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 28,0.8157848338519302,positive,0.0,1000.0,0.04528154537215141,0.045020419815614755,0.5970672317069737,-0.15329337413943997,80
