scenario,case_study,design,sigma,run_id,t,line,market_flow,final_flow,Fmax,market_overload,market_utilization,final_utilization,market_overloaded,binding_after_redispatch
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177,7,1024.6121301141216,688.1784268632663,688.1784268632663,336.4337032508553,1.4888756899636162,1.0,True,True
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177,8,534.6756532553802,688.1784268632663,688.1784268632663,0.0,0.7769433512940018,1.0,False,True
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44,4,2684.1646575665704,2377.3436564367385,2377.3436564367385,306.821001129832,1.1290604327645706,1.0,True,True
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44,5,-2534.482346552101,-2377.3436564367385,2377.3436564367385,157.13869011536235,1.0660984328832326,1.0,True,True
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177,11,765.471608961999,541.6182239266061,688.1784268632663,77.2931820987327,1.112315613337426,0.787031680715879,True,False
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177,12,-912.0318118986588,-688.1784268632663,688.1784268632663,223.8533850353924,1.3252839326215462,1.0,True,True
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177,14,-865.5519302186635,-688.1784268632663,688.1784268632663,177.37350335539725,1.257743481096712,1.0,True,True
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177,23,722.9942393651479,606.6975582214171,688.1784268632663,34.815812501881624,1.0505912582301844,0.8815992111039561,True,False
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177,7,1078.1764420719862,688.1784268632663,688.1784268632663,389.99801520872,1.5667106087389868,1.0,True,True
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177,8,896.3359806878949,688.1784268632663,688.1784268632663,208.15755382462865,1.302476139470712,1.0,True,True
