scenario,case_study,sigma,zone,base_requirement_min_mw,base_requirement_max_mw,net_import_min_mw,net_import_max_mw,effective_requirement_min_mw,effective_requirement_max_mw,accepted_capacity_min_mw,accepted_capacity_max_mw,price_min_per_mw,price_max_per_mw,zonal_expenditure_min,zonal_expenditure_max,requirement_binding_runs,runs,role
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,2560.309318529239,2560.309318529239,-2338.8903589617894,-2338.890158956618,4899.199477485858,4899.1996774910285,4899.199477486291,4899.199677491046,5975.33355713651,5975.333557229355,29274351.041375544,29274352.236468907,80,80,Exporter in all runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,7001.104754159029,7001.104754159029,2377.3434564325185,2377.3436564367385,4623.76109772229,4623.761297726511,4623.761097722284,4623.761297726512,11368.885311585247,11368.885316586284,52567009.62817415,52567011.92511413,80,80,Importer in all runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,7227.746702524866,7227.746702524866,-38.45330092348309,-38.45329745811705,7266.199999982983,7266.20000344835,7266.199999990014,7266.200000909439,5975.333557098818,5975.333557227499,43417968.692591436,43417968.698428676,80,80,Exporter in all runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,2560.309318529239,2560.309318529239,-2361.6514567044314,-2361.651452549005,4921.960771078244,4921.96077523367,4921.960771078292,4921.96077523367,5975.333557099735,5975.333557227499,29410357.36275272,29410357.38748872,80,80,Exporter in all runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,7001.104754159029,7001.104754159029,2400.1047534724885,2400.1047541625485,4600.99999999648,4601.00000068654,4600.999999996479,4601.0,5975.333557099182,5975.333557227499,27492509.69621334,27492509.696803723,80,80,Importer in all runs
nl34_z3_sigma0,Case Study 1,0.0,1,7227.746702524866,7227.746702524866,0.0,0.0,7227.746702524866,7227.746702524866,7227.746702524866,7227.746702524866,59329.06935281876,59329.06935292875,428815485.3787049,428815485.3794999,80,80,No material transfer
nl34_z3_sigma0,Case Study 1,0.0,2,2560.309318529239,2560.309318529239,0.0,0.0,2560.309318529239,2560.309318529239,2560.309318529239,2560.309318529239,48541.9658340839,48541.96583421495,124282447.46473296,124282447.46506849,80,80,No material transfer
nl34_z3_sigma0,Case Study 1,0.0,3,7001.104754159029,7001.104754159029,0.0,0.0,7001.104754159029,7001.104754159029,7001.104754159029,7001.104754159029,53935.47888230523,53935.51759344085,377607937.620751,377608208.6414667,80,80,No material transfer
nl34_z3_sigma100,Case Study 1,1.0,1,7227.746702524866,7227.746702524866,4754.687312873477,4754.687312873477,2473.059389651389,2473.059389651389,2473.059389651389,2473.059389651389,59329.069352797145,59329.06935292681,146724312.04221344,146724312.0425341,80,80,Importer in all runs
nl34_z3_sigma100,Case Study 1,1.0,2,2560.309318529239,2560.309318529239,-4754.687312873477,-4754.68731286741,7314.996631396649,7314.996631402716,7314.996631396649,7314.996631402715,48541.96583407945,48541.96583421497,355084316.5579569,355084316.55890965,80,80,Exporter in all runs
nl34_z3_sigma100,Case Study 1,1.0,3,7001.104754159029,7001.104754159029,-6.067239155527204e-09,0.0,7001.104754159029,7001.104754165096,7001.10475415893,7001.104754165097,53935.51759343677,53935.51759357086,377608208.64143276,377608208.6427042,80,80,No material transfer
nl34_z3_sigma25,Case Study 1,0.25,1,7227.746702524866,7227.746702524866,1188.6718282183692,1188.6718282183692,6039.074874306498,6039.074874306498,6039.074874306495,6039.074874306495,59329.06935281876,59329.06935281876,358292692.0445953,358292692.0445953,80,80,Importer in all runs
nl34_z3_sigma25,Case Study 1,0.25,2,2560.309318529239,2560.309318529239,-1188.6718282183692,-1188.6718282183692,3748.981146747608,3748.981146747608,3748.9811467476056,3748.9811467476056,48541.9658340839,48541.9658340839,181982914.73804694,181982914.73804694,80,80,Exporter in all runs
nl34_z3_sigma25,Case Study 1,0.25,3,7001.104754159029,7001.104754159029,0.0,0.0,7001.104754159029,7001.104754159029,7001.104754159041,7001.104754159041,53935.51759344085,53935.51759344085,377608208.6414673,377608208.6414673,80,80,No material transfer
nl34_z3_sigma50,Case Study 1,0.5,1,7227.746702524866,7227.746702524866,2377.3436564367385,2377.3436564367385,4850.403046088128,4850.403046088128,4850.403046088128,4850.403046088128,59329.06935281876,59329.06935281876,287769898.7104859,287769898.7104859,80,80,Importer in all runs
nl34_z3_sigma50,Case Study 1,0.5,2,2560.309318529239,2560.309318529239,-2377.3436564367385,-2377.3436564367385,4937.652974965978,4937.652974965978,4937.652974965978,4937.652974965978,48541.9658340839,48541.9658340839,239683382.0113612,239683382.0113612,80,80,Exporter in all runs
nl34_z3_sigma50,Case Study 1,0.5,3,7001.104754159029,7001.104754159029,0.0,0.0,7001.104754159029,7001.104754159029,7001.104754159043,7001.104754159043,53935.51759344085,53935.51759344085,377608208.64146745,377608208.64146745,80,80,No material transfer
nl34_z3_sigma75,Case Study 1,0.75,1,7227.746702524866,7227.746702524866,3566.015484655108,3566.015484655108,3661.731217869758,3661.731217869758,3661.731217869757,3661.731217869757,59329.06935279719,59329.06935279719,217247105.37629732,217247105.37629732,80,80,Importer in all runs
nl34_z3_sigma75,Case Study 1,0.75,2,2560.309318529239,2560.309318529239,-3566.015484655108,-3566.015484655108,6126.324803184347,6126.324803184347,6126.324803184347,6126.324803184347,48541.96583407945,48541.96583407945,297383849.28464806,297383849.28464806,80,80,Exporter in all runs
nl34_z3_sigma75,Case Study 1,0.75,3,7001.104754159029,7001.104754159029,0.0,0.0,7001.104754159029,7001.104754159029,7001.104754159051,7001.104754159051,53935.51759343677,53935.51759343677,377608208.6414393,377608208.6414393,80,80,No material transfer
