scenario,case_study,sigma,zone,bus,new_capacity_min_mw,new_capacity_max_mw,material_investment_runs,runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 25,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 26,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 28,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 31,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 4,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 1,0.0,1000.0,40,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 11,0.0,1000.0,18,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 13,0.0,1000.0,27,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 22,0.0,1000.0,39,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 5,0.0,1000.0,12,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 6,0.0,1000.0,14,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 7,0.0,1000.0,41,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 9,0.0,1000.0,15,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 0,0.0,0.0,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 10,0.0,7.554870884399325e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 16,0.0,6.377501511332336e-08,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 17,0.0,0.0,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 18,0.0,4.217895366309678e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 20,0.0,2.276597221850808e-08,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 21,0.0,3.791994274138234e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 23,0.0,2.0323227545304694e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 24,0.0,7.453319739170185e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 27,0.0,7.541984814452007e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 3,0.0,4.2147956236249245e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 30,0.0,3.791994274138234e-09,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 33,0.0,2.883388612318076e-07,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,NL0 8,0.0,1.5405818842850757e-07,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 12,0.0,479.6996774908275,15,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 14,0.0,479.6996774908503,13,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 15,0.0,479.6996774910031,36,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 19,0.0,479.699677490944,13,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 2,0.0,479.6996774908994,13,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 25,0.0,479.6996774910086,2,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 26,0.0,479.6996774906741,1,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 28,0.0,479.6996774908434,1,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 31,0.0,479.6996774908657,2,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,NL0 4,0.0,479.69967749107786,35,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 1,0.0,22.76109772234759,23,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 11,0.0,22.76109772953925,19,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 13,0.0,22.761097722358397,3,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 22,0.0,22.76109773705482,13,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 5,0.0,22.761097723486607,4,80
