run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest,case_study,design,sigma,source,source_file,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,line_idx,direction,ptdf_nonzero,ptdf_density,finite_gap,target_gap_reached,time_limit_reached,density_class
21,ptdf_pos,TIME_LIMIT,120.4319999217987,46.31956529857678,436.0076028511203,2267910990.072668,43.05303149294538,0.0,OPTIMAL,128461.77146922828,2813445133.7335725,40818.82961592906,43821.470926649614,84640.30054257867,-3054109.7655331763,2816499243.499105,5472.58087301459,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,18,positive,33,0.9705882352941176,46.31956529857678,False,True,dense PTDF row
22,ptdf_neg,TIME_LIMIT,120.85399985313416,793.2170305789751,436.0076028574277,2267910990.07301,43.05303149294538,0.0,OPTIMAL,92295.09239506166,3035235363.835644,44033.77189892408,24130.66024806879,68164.43214699287,-3094897.190118133,3038330261.0257616,5472.580873014807,16722.707602851122,5472.580873014807,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1531364186321314e-09,0.0,3.152909044956688e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511217,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,18,negative,33,0.9705882352941176,793.2170305789751,False,True,dense PTDF row
23,ptdf_pos,TIME_LIMIT,120.1909999847412,58.4376956595108,436.00760292961866,2267910990.076633,43.15731403493141,0.0,OPTIMAL,125477.23294301548,3035235342.739455,44033.77189129565,40721.73052585992,84755.50241715556,-3094917.759944303,3038330260.4994,4559.065804915375,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1506028957674068e-08,0.0,1.4000416825865622e-08,0.0,0.0,2.1506028957674068e-08,0.0,0.0,0.0,0.0,0.0,2.1463268495836025e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511429,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,19,positive,33,0.9705882352941176,58.4376956595108,False,True,dense PTDF row
24,ptdf_neg,TIME_LIMIT,120.4469997882843,126.88448995545065,436.0076028511222,2267910990.072669,43.15731403493141,0.0,OPTIMAL,105542.12936929912,2377744877.675468,34498.08006596782,35522.02465166565,70020.10471763347,-2622646.8763118,2380367524.55178,4559.065804915279,16722.707602851122,4559.065804915279,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.7250867427073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.28251610841494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,19,negative,33,0.9705882352941176,126.88448995545065,False,True,dense PTDF row
25,ptdf_pos,TIME_LIMIT,120.60399985313416,35.91192340205079,436.0076028511203,2267910990.072667,43.1573140349314,0.0,OPTIMAL,114906.21632579203,3035230072.876938,44033.77189986714,35436.22221296246,79469.99411282958,-3100188.21389476,3038330261.0908327,4559.065804914728,16722.707602851122,4559.065804914728,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,2,positive,33,0.9705882352941176,35.91192340205079,False,True,dense PTDF row
26,ptdf_neg,TIME_LIMIT,120.81299996376038,26.05753635340545,436.0076029002626,2267910990.075054,43.05303149294538,0.0,OPTIMAL,122662.9711068076,2813445133.4922957,40818.82961243104,40922.070747188285,81740.90035961934,-3054109.765446501,2816499243.257742,5472.580873017899,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283532413448492e-08,436.0076028511222,0.0,0.0,0.0,0.0,1.228601931302365e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2285564565672764e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2285280348578462e-08,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,2,negative,33,0.9705882352941176,26.05753635340545,False,True,dense PTDF row
27,ptdf_pos,TIME_LIMIT,120.80700016021729,152.28510243432405,436.007602864029,2267910990.0733643,43.15731403493142,0.0,OPTIMAL,153227.19000187746,2813505839.5122194,40818.82961449512,56204.180193691165,97023.0098081863,-2993403.8879437894,2816499243.400163,4559.065804897382,16722.707602851122,4559.065804897382,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2908735413930124e-08,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,20,positive,33,0.9705882352941176,152.28510243432405,False,True,dense PTDF row
28,ptdf_neg,TIME_LIMIT,120.81900000572205,45.07190842484079,436.0076028660379,2267910990.073553,43.05303149294539,0.0,OPTIMAL,119429.77766416335,3035236344.6741123,44033.77189822633,37698.00288296851,81731.77478119484,-3093916.3035044977,3038330260.977617,5472.580873014539,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.462155338089363e-09,0.0,0.0,7.440474902864483e-09,0.0,0.0,0.0,0.0,0.0,436.0076028511353,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,20,negative,33,0.9705882352941176,45.07190842484079,False,True,dense PTDF row
30,ptdf_neg,TIME_LIMIT,120.6949999332428,81.06448254642439,436.0076028511345,2267910990.072668,43.05303149294538,0.0,OPTIMAL,177728.29770066042,3035236603.09711,44033.77189986718,66847.26290039661,110881.0348002638,-3093657.9937252044,3038330261.090835,5472.580873014664,16722.707602851122,5472.580873014664,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511345,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,21,negative,33,0.9705882352941176,81.06448254642439,False,True,dense PTDF row
31,ptdf_pos,TIME_LIMIT,120.58700013160706,138.11337479682172,436.007602872548,2267910990.073825,43.05303149294538,0.0,OPTIMAL,163773.5502008153,3035289333.7365203,44033.771898569714,59869.889151122814,103903.66104969251,-3040927.2647900176,3038330261.0013103,5472.580873008178,16722.707602851122,5472.580873008178,16722.70760285112,0.0,0.0,0.0,5.3617590367593965e-09,0.0,5.361574295648099e-09,0.0,0.0,0.0,0.0,5.342153386322936e-09,0.0,0.0,5.3613469219726564e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,22,positive,33,0.9705882352941176,138.11337479682172,False,True,dense PTDF row
