run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
28,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316586284,11368.885316586284,0.0
29,1,7227.746702524866,-38.453297475134605,7266.200000000001,7266.2,5975.333557227095,5975.333557227095,0.0
29,2,2560.309318529239,-2338.890358961604,4899.199677490843,4899.1996774907875,5975.333557227095,5975.33355722703,0.0
29,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316583413,11368.885316583413,0.0
30,1,7227.746702524866,-38.45329747513324,7266.2,7266.2,5975.333557227071,5975.333557227071,0.0
30,2,2560.309318529239,-2338.890358961605,4899.199677490844,4899.199677490845,5975.333557227071,5975.333557227071,0.0
30,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722291,11368.885316584256,11368.885316584256,0.0
31,1,7227.746702524866,-38.45329747530127,7266.200000000167,7266.2,5975.333557227104,5975.333557227104,0.0
31,2,2560.309318529239,-2338.8903589614374,4899.199677490677,4899.199677490845,5975.3335571439375,5975.333557227104,0.0
31,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584292,11368.885316498125,0.0
32,1,7227.746702524866,-38.45329747522737,7266.2000000000935,7266.2,5975.333557225073,5975.333557224891,0.0
32,2,2560.309318529239,-2338.890358961511,4899.19967749075,4899.199677486339,5975.333557225073,5975.33355722511,0.0
32,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316582022,11368.885316582118,0.0
33,1,7227.746702524866,-38.45329747508504,7266.199999999951,7266.2,5975.333557227168,5975.333557227207,0.0
33,2,2560.309318529239,-2338.8903589616534,4899.199677490893,4899.199677490838,5975.333557227117,5975.333557227146,0.0
33,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584348,11368.885316584026,0.0
34,1,7227.746702524866,-38.45329747512915,7266.199999999995,7266.2,5975.333557226644,5975.333557226644,0.0
34,2,2560.309318529239,-2338.8903589616093,4899.199677490848,4899.199677490849,5975.333557226644,5975.333557226644,0.0
34,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722291,11368.885316582686,11368.885316582686,0.0
35,1,7227.746702524866,-38.45329747513483,7266.200000000001,7266.2,5975.33355722727,5975.33355722727,0.0
35,2,2560.309318529239,-2338.890358961604,4899.199677490843,4899.199677490843,5975.33355722727,5975.33355722727,0.0
35,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584267,11368.885316584267,0.0
36,1,7227.746702524866,-38.453297475136424,7266.200000000003,7266.2,5975.333557227175,5975.333557227175,0.0
36,2,2560.309318529239,-2338.890358961602,4899.199677490841,4899.199677490842,5975.333557227175,5975.333557227175,0.0
36,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584292,11368.885316584292,0.0
37,1,7227.746702524866,-38.45329747532742,7266.2000000001935,7266.2,5975.333557226991,5975.333557226991,0.0
37,2,2560.309318529239,-2338.890358961411,4899.19967749065,4899.199677490899,5975.333557226991,5975.333557226991,0.0
37,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584267,11368.885316584267,0.0
38,1,7227.746702524866,-38.45329747512119,7266.199999999987,7266.2,5975.333557227182,5975.333557227182,0.0
38,2,2560.309318529239,-2338.8903589616175,4899.199677490857,4899.199677490866,5975.333557227182,5975.333557227182,0.0
38,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584317,11368.885316584317,0.0
39,1,7227.746702524866,-38.453297475310364,7266.200000000176,7266.2,5975.333557227221,5975.333557227221,0.0
39,2,2560.309318529239,-2338.8903589614283,4899.199677490667,4899.199677490979,5975.333557227221,5975.333557227221,0.0
39,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.88531658426,11368.88531658426,0.0
40,1,7227.746702524866,-38.453297475478394,7266.2000000003445,7266.2,5975.333557227119,5975.333557227119,0.0
40,2,2560.309318529239,-2338.89035896126,4899.199677490499,4899.199677490854,5975.333557227119,5975.333557138231,0.0
40,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584285,11368.885316584285,0.0
41,1,7227.746702524866,-38.4532974751728,7266.200000000039,7266.2,5975.333557227157,5975.333557227173,0.0
41,2,2560.309318529239,-2338.8903589615657,4899.199677490805,4899.199677490725,5975.333557227157,5975.33355722725,0.0
41,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584285,11368.885316584285,0.0
42,1,7227.746702524866,-38.45329747521896,7266.200000000085,7266.2,5975.333557224685,5975.333557224685,0.0
42,2,2560.309318529239,-2338.8903589615193,4899.199677490758,4899.199677490974,5975.333557224685,5975.333557224685,0.0
42,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.8853165816,11368.8853165816,0.0
43,1,7227.746702524866,-38.45329747515234,7266.200000000018,7266.2,5975.3335572243595,5975.3335572243595,0.0
43,2,2560.309318529239,-2338.890358961586,4899.199677490826,4899.199677490789,5975.3335572243595,5975.3335572243595,0.0
43,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316576983,11368.885316576983,0.0
44,1,7227.746702524866,-38.45329747508299,7266.199999999949,7266.2,5975.333557226234,5975.333557226234,0.0
44,2,2560.309318529239,-2338.8903589616557,4899.199677490895,4899.199677490886,5975.333557226234,5975.333557226234,0.0
44,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.76109772229,11368.885316583079,11368.885316583079,0.0
45,1,7227.746702524866,-38.453297475133695,7266.2,7266.2,5975.333557227263,5975.333557227263,0.0
45,2,2560.309318529239,-2338.8903589616048,4899.199677490844,4899.199677490844,5975.333557227263,5975.333557227263,0.0
45,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.76109772229,11368.88531658442,11368.885316584936,0.0
46,1,7227.746702524866,-38.4532974759004,7266.2000000007665,7266.2,5975.333557227755,5975.333557227056,0.0
46,2,2560.309318529239,-2338.890158956618,4899.199477485858,4899.199477486291,5975.3335572275555,5975.333557228436,0.0
46,3,7001.104754159029,2377.3434564325185,4623.761297726511,4623.761297726512,11368.885316584392,11368.885316584392,0.0
47,1,7227.746702524866,-38.453297475150976,7266.200000000017,7266.2,5975.3335572223405,5975.3335572223405,0.0
47,2,2560.309318529239,-2338.8903589615875,4899.199677490827,4899.1996774908275,5975.3335572223405,5975.3335572223405,0.0
47,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.7610977222885,11368.885316584265,11368.885316584265,0.0
48,1,7227.746702524866,-38.45329747522965,7266.200000000096,7266.2,5975.333557224024,5975.333557224024,0.0
48,2,2560.309318529239,-2338.890358961509,4899.1996774907475,4899.199677490758,5975.333557224201,5975.333557224201,0.0
48,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316582539,11368.885316582539,0.0
49,1,7227.746702524866,-38.453297475204636,7266.200000000071,7266.2,5975.333557220346,5975.333557220346,0.0
