Line,NL0 0,NL0 1,NL0 10,NL0 11,NL0 12,NL0 13,NL0 14,NL0 15,NL0 16,NL0 17,NL0 18,NL0 19,NL0 2,NL0 20,NL0 21,NL0 22,NL0 23,NL0 24,NL0 25,NL0 26,NL0 27,NL0 28,NL0 29,NL0 3,NL0 30,NL0 31,NL0 32,NL0 33,NL0 4,NL0 5,NL0 6,NL0 7,NL0 8,NL0 9
27,0.0,-0.5863925659267387,0.015441453450728103,-0.6884856692823967,-0.8096498326560541,-0.4951241241528989,-0.8179529300422536,-0.7998951750421595,-0.05085474964301469,-0.006148576823631791,-0.04121762426109229,-0.8065074028788094,-0.8057461026636855,0.12674826124484626,-0.039547776011911326,-0.11265252187785244,-0.04348081051638815,0.027291788161104603,-0.8068810333166494,-0.8229199299696678,0.0033054402886190893,-0.8157848338519306,-0.04348081051638814,-0.045768297361242716,-0.04195116620827986,-0.8071192197782028,-0.04348081051638815,-0.04348081051638815,-0.8311498499314557,-0.19616251932162115,-0.2916914495222213,-0.11265252187785242,-0.049362945135312974,-0.41372556721460224
28,0.0,-0.4136074340732609,-0.015441453450728181,-0.31151433071760326,-0.19035016734394683,-0.5048758758471006,-0.18204706995774722,-0.20010482495784093,0.0508547496430147,0.006148576823631737,0.041217624261092295,-0.19349259712119105,-0.19425389733631487,-0.1267482612448466,0.039547776011911326,0.11265252187785246,0.043480810516388156,-0.027291788161104686,-0.19311896668335138,-0.1770800700303329,-0.0033054402886191583,-0.18421516614807035,0.043480810516388156,0.045768297361242744,0.041951166208279864,-0.19288078022179772,0.04348081051638816,0.04348081051638816,-0.16885015006854473,-0.8038374806783788,-0.7083085504777786,0.1126525218778525,0.049362945135312995,-0.5862744327853973
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
3,0.0,0.41360743407326156,0.015441453450728273,0.31151433071760376,0.19035016734394725,-0.4951241241528987,0.18204706995774766,0.2001048249578414,-0.05085474964301461,-0.006148576823631647,-0.0412176242610922,0.19349259712119155,0.19425389733631535,0.1267482612448469,-0.039547776011911236,-0.11265252187785232,-0.04348081051638805,0.027291788161104783,0.19311896668335182,0.17708007003033335,0.003305440288619249,0.18421516614807076,-0.04348081051638806,-0.04576829736124263,-0.041951166208279767,0.1928807802217982,-0.04348081051638806,-0.04348081051638806,0.16885015006854515,-0.19616251932162104,-0.29169144952222115,-0.11265252187785231,-0.0493629451353129,-0.4137255672146021
30,0.0,-0.0031078769333427675,0.028022299664347095,0.0018214160998249256,0.007671504369810495,-0.00751453007049542,0.00807239726809889,0.0072005267597989924,-0.028964891168760352,0.05075578928901319,0.21663980590158155,0.007519780534418524,0.007483023185261589,0.010742352667352285,0.08592388949870224,-0.025981150660047646,0.3938022908737927,0.015544343044383468,0.007537820282978298,0.008312215603845376,0.04080106494626822,0.007967716529685382,0.3938022908737927,-0.4271329711589356,0.2740615553890608,0.0075493204806110475,0.39380229087379276,0.39380229087379276,0.008709575325489312,-0.02194909330191848,-0.017336733851316215,-0.025981150660047643,-0.14574352264849072,-0.011444642158753475
31,0.0,0.0031078769333430806,-0.028022299664346863,-0.0018214160998246576,-0.007671504369810278,0.007514530070495773,-0.008072397268098677,-0.007200526759798771,0.028964891168760908,-0.05075578928901279,-0.21663980590158072,-0.007519780534418307,-0.007483023185261372,-0.010742352667352096,-0.08592388949870158,0.025981150660048174,0.6061977091262087,-0.01554434304438332,-0.007537820282978079,-0.008312215603845164,-0.040801064946267895,-0.007967716529685169,0.6061977091262087,0.4271329711589368,-0.27406155538905985,-0.007549320480610831,0.6061977091262087,0.6061977091262087,-0.008709575325489103,0.021949093301918965,0.017336733851316663,0.025981150660048177,0.1457435226484914,0.011444642158753862
32,0.0,-3.8864048808345627e-16,-3.0007765680200593e-16,-3.3354401966825713e-16,-2.681554940876921e-16,-4.378952237532985e-16,-2.636745710101225e-16,-2.7341977901448786e-16,-6.849822680881178e-16,-5.095618863211821e-16,-1.1125936730993727e-15,-2.698513655743856e-16,-2.70262215591462e-16,-2.3530017175751723e-16,-8.336283845892895e-16,-6.486944308014804e-16,-1.4501964879052424e-15,-1.8509596364080132e-16,-2.6964972886298436e-16,-2.6099403583561875e-16,-4.1783123724594823e-16,-2.648446250034379e-16,-1.0000000000000016,-1.263390966865992e-15,-1.2351393840834674e-15,-2.695211870474789e-16,-1.0000000000000016,-1.0000000000000016,-2.565526043350535e-16,-5.992354913770761e-16,-5.476815027868815e-16,-6.49287476548803e-16,-8.257592384269827e-16,-4.818234899533202e-16
34,0.0,0.04419931528181599,-0.0011638989119849446,0.05189457870348685,0.3496049747419685,0.03731996027691982,0.5958661306973949,0.060292065569106934,0.003833174640434059,0.0004634487224999036,0.0031067767153635127,0.2564038049304292,0.2338244393894308,-0.009553644922713333,0.0029809119729930266,0.008491179153851945,0.0032773642852812913,-0.002057117398189991,0.2674852916627747,0.7431821366241216,-0.00024914742435551776,0.5315626726964165,0.0032773642852812913,0.003449783511126943,0.0031620674091412215,0.2745496521811298,0.0032773642852812917,0.0032773642852812917,-0.012727073042726458,0.014785741739868638,0.021986230882833715,0.008491179153851947,0.003720729937676727,0.031184547431235637
35,0.0,-9.599060432701021e-17,-7.2260683374754e-17,-8.245523897881783e-17,-6.63914583269818e-17,-1.0809085070570632e-16,-6.5290644922845e-17,-6.768471761983162e-17,-1.6699148257361762e-16,-1.2233954696747123e-16,-2.6373642707810134e-16,-6.680807741013244e-17,-6.690900956140088e-17,-5.795920377112061e-17,-1.9981020907405474e-16,-1.5879841764161158e-16,-3.503771969868432e-16,-4.477339929281536e-17,-6.67585419928012e-17,-6.463212680073646e-17,-1.0041060905718555e-16,-6.557808817886804e-17,0.3706354280027755,-2.934886870532899e-16,-2.9181835754934337e-16,-6.672696355437436e-17,-0.45042908869061704,-3.7155394373736277e-16,-6.354101516040241e-17,-1.4772677530265445e-16,-1.3506167913957024e-16,-1.5879841764161158e-16,-2.040918207662529e-16,-1.1888256112259248e-16
36,0.0,-4.7995302163505106e-17,-3.6130341687377e-17,-4.1227619489408914e-17,-3.31957291634909e-17,-5.404542535285316e-17,-3.26453224614225e-17,-3.384235880991581e-17,-8.349574128680881e-17,-6.116977348373561e-17,-1.3186821353905067e-16,-3.340403870506622e-17,-3.345450478070044e-17,-2.8979601885560304e-17,-9.990510453702737e-17,-7.939920882080579e-17,-1.751885984934216e-16,-2.238669964640768e-17,-3.33792709964006e-17,-3.231606340036823e-17,-5.020530452859277e-17,-3.278904408943402e-17,0.6293645719972238,-1.4674434352664496e-16,-1.4590917877467169e-16,-3.336348177718718e-17,0.4504290886906164,-1.8577697186868138e-16,-3.1770507580201206e-17,-7.386338765132722e-17,-6.753083956978512e-17,-7.939920882080579e-17,-1.0204591038312644e-16,-5.944128056129624e-17
