name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
NL0 6 0 solar,NL0 6,PQ,,260.3,0.0,False,260.3,6580.490557731373,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 7 0 solar,NL0 7,PQ,,553.2,0.0,False,553.2,9271.833645413983,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 8 0 solar,NL0 8,PQ,,79.5,0.0,False,79.5,2245.8546986123074,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 9 0 solar,NL0 9,PQ,,299.5,0.0,False,299.5,4940.025968397524,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 20 0 offwind-ac,NL0 20,PQ,,578.0,0.0,False,578.0,578.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,277310.31886098714,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 27 0 offwind-ac,NL0 27,PQ,,4583.0,0.0,False,4583.0,4583.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,277121.90663715266,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 31 0 offwind-ac,NL0 31,PQ,,600.0,0.0,False,600.0,600.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,282738.9463788801,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 32 0 offwind-ac,NL0 32,PQ,,608.0,0.0,False,608.0,608.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 7 0 offwind-ac,NL0 7,PQ,,752.0,0.0,False,752.0,752.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,280099.3781233385,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 0 0 onwind,NL0 0,PQ,,59.0,0.0,False,59.0,1252.9304709137532,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 1 0 onwind,NL0 1,PQ,,75.0,0.0,False,75.0,2654.4769959818814,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 10 0 onwind,NL0 10,PQ,,428.0,0.0,False,428.0,1275.0173107474259,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 11 0 onwind,NL0 11,PQ,,21.0,0.0,False,21.0,3625.1980391989755,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 12 0 onwind,NL0 12,PQ,,54.0,0.0,False,54.0,1763.4129124170588,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 13 0 onwind,NL0 13,PQ,,23.0,0.0,False,23.0,2254.3626552979986,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 14 0 onwind,NL0 14,PQ,,61.0,0.0,False,61.0,1600.7816772153114,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 15 0 onwind,NL0 15,PQ,,52.0,0.0,False,52.0,3503.610929712281,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 17 0 onwind,NL0 17,PQ,,27.0,0.0,False,27.0,247.93276493978746,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 19 0 onwind,NL0 19,PQ,,532.0,0.0,False,532.0,532.0,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 2 0 onwind,NL0 2,PQ,,472.8,0.0,False,472.8,2583.4846065259335,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 20 0 onwind,NL0 20,PQ,,822.2,0.0,False,822.2,2013.980098522881,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 21 0 onwind,NL0 21,PQ,,36.0,0.0,False,36.0,388.6598189150158,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 22 0 onwind,NL0 22,PQ,,122.7,0.0,False,122.7,2095.5408599068905,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 23 0 onwind,NL0 23,PQ,,127.0,0.0,False,127.0,418.2281219967007,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 24 0 onwind,NL0 24,PQ,,33.0,0.0,False,33.0,479.54467488052813,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 27 0 onwind,NL0 27,PQ,,21.6,0.0,False,21.6,680.270889977633,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 3 0 onwind,NL0 3,PQ,,284.6,0.0,False,284.6,935.5115522129126,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 30 0 onwind,NL0 30,PQ,,31.0,0.0,False,31.0,47.77153792472321,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 31 0 onwind,NL0 31,PQ,,216.0,0.0,False,216.0,546.5761360745138,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 4 0 onwind,NL0 4,PQ,,287.0,0.0,False,287.0,1922.8535178357342,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 5 0 onwind,NL0 5,PQ,,21.0,0.0,False,21.0,2247.393020122924,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 6 0 onwind,NL0 6,PQ,,35.0,0.0,False,35.0,1389.2173066631026,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 7 0 onwind,NL0 7,PQ,,374.3,0.0,False,374.3,3351.1005178341334,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 8 0 onwind,NL0 8,PQ,,101.1,0.0,False,101.1,415.8411762364865,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 9 0 onwind,NL0 9,PQ,,35.0,0.0,False,35.0,1644.1916819703433,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.015,0.0,True,0,30.0,118819.88845458832,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
