run_id,zone_a,zone_b,bound,f_ab,phi_lo,phi_hi,at_bound
22,1,3,594.3359141091846,-594.3359141091846,18839.934474391543,0.0,lower
22,2,3,594.3359141091846,-594.3359141091846,18839.934474391543,0.0,lower
23,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
23,1,3,594.3359141091846,-594.3359141091846,18839.9344744778,0.0,lower
23,2,3,594.3359141091846,-594.3359141091846,18839.9344744778,0.0,lower
24,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
24,1,3,594.3359141091846,-594.3359141091846,18839.934474475143,0.0,lower
24,2,3,594.3359141091846,-594.3359141091846,18839.934474475143,0.0,lower
25,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
25,1,3,594.3359141091846,-594.3359141091846,18839.9344744778,0.0,lower
25,2,3,594.3359141091846,-594.3359141091846,18839.9344744778,0.0,lower
26,1,2,594.3359141091846,555.8826166340505,0.0,0.0,interior
26,1,3,594.3359141091846,-594.3359141091846,18839.93447447773,0.0,lower
26,2,3,594.3359141091846,-594.3359141091846,18839.93447447773,0.0,lower
27,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
27,1,3,594.3359141091846,-594.3359141091846,18839.934474477795,0.0,lower
27,2,3,594.3359141091846,-594.3359141091846,18839.934474477795,0.0,lower
28,1,2,594.3359141091846,555.8826166339044,0.0,0.0,interior
28,1,3,594.3359141091846,-594.3359141091846,18839.93447447771,0.0,lower
28,2,3,594.3359141091846,-594.3359141091846,18839.93447447771,0.0,lower
29,1,2,594.3359141091846,555.882616633914,0.0,0.0,interior
29,1,3,594.3359141091846,-594.3359141091846,18839.934474477825,0.0,lower
29,2,3,594.3359141091846,-594.3359141091846,18839.934474477825,0.0,lower
30,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
30,1,3,594.3359141091846,-594.3359141091846,18839.93447447777,0.0,lower
30,2,3,594.3359141091846,-594.3359141091846,18839.93447447777,0.0,lower
31,1,2,594.3359141091846,555.8826166340291,0.0,0.0,interior
31,1,3,594.3359141091846,-594.3359141091846,18839.934474477755,0.0,lower
31,2,3,594.3359141091846,-594.3359141091846,18839.934474477755,0.0,lower
32,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
32,1,3,594.3359141091846,-594.3359141091846,18839.93447447776,0.0,lower
32,2,3,594.3359141091846,-594.3359141091846,18839.93447447776,0.0,lower
33,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
33,1,3,594.3359141091846,-594.3359141091846,18839.93447447654,0.0,lower
33,2,3,594.3359141091846,-594.3359141091846,18839.93447447654,0.0,lower
34,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
34,1,3,594.3359141091846,-594.3359141091846,18839.934474477723,0.0,lower
