run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
42,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
42,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
43,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
43,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
43,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
44,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
44,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
44,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
45,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
45,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
45,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
46,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
46,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
46,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
47,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
47,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
47,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
48,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
48,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
48,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
49,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
49,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
49,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
50,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
50,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
50,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
51,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
51,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
51,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
52,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
52,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
52,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
53,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
53,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
53,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
54,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
54,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
54,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
55,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
55,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
55,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
56,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
56,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
56,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
57,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
57,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
57,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
58,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
58,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
58,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
59,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
